,Hashtags,Sentiment,SentimentClass,date,geo,id,retweets,text,username
0,,-0.5,Negative,2020-05-13 07:07:33+00:00,,1260466697661808642,0,Zambia May Not Get IMF Covid Loan Because It Has Already Borrowed Carelessly -Bloomberg ,ZambianObserver
1,,0.0,Neutral,2020-05-13 06:56:54+00:00,,1260464018222977025,0,"For the Covid-19 fight, Zambia will borrow $145mil from the US and UK. $57mil +$20mil from the World Bank, $37.5mil from AfDB, + grant pledges from the US and UK of 37 and 14 million dollars respectively.",_Vndy_
2,#covid_19 #abashhunger,0.12454545454545454,Positive,2020-05-13 06:56:24+00:00,,1260463890099568643,0,"Zambia with 80% people of it's citizen belonging to low income earners,,,, And economic activities continues in lockdown,,what will the people eat.....???? Can we manage to live to what is said as the new normal.......????? #covid_19 #abashhunger @ActionAidZambia",MutalePius
3,#COVID__19 #powerbreakfast,0.0,Neutral,2020-05-13 06:54:53+00:00,,1260463510783430657,0,Did Nare grow up in Zambia or Zimbabwe? I am fascinated by his English accent @Powerfm987 #COVID__19 #powerbreakfast,KulKat_Paradise
4,,0.3,Positive,2020-05-13 06:46:24+00:00,,1260461373433184256,0,"The Zambia Revenue Authority has donated 20,000 litres of fuel and disinfectants worth K500, 000 to help curb the COVID-19 situation at the Nakonde border.",HOT877Zambia
5,#Zambia #covid19zambia,0.0,Neutral,2020-05-13 06:43:26+00:00,,1260460627853750273,0,Uncle Umble vs his response to COVID-19 numbers #Zambia #covid19zambia,CurtoZambiano
6,,0.0,Neutral,2020-05-13 06:39:09+00:00,,1260459548088942592,0,Zambia shuts border with Tanzania to curb COVID-19 ,kellymukumbuta
7,,0.2,Positive,2020-05-13 06:27:40+00:00,,1260456661237579783,0,The Patriots for Economic Progress has expressed concern on the lack of transparency in the recruitment of 3000 health workers to help in the fight against Covid-19.,HOT877Zambia
8,,-0.025,Negative,2020-05-13 06:19:57+00:00,,1260454716993044482,7,"The directive by Vice President Inonge Wina to the Ministry of Health and the Disaster Management and Mitigation Unit to publish all donations made towards the fight against Covid 19 is long overdue , Transparency International Zambia has said .",HOT877Zambia
9,,-0.21666666666666667,Negative,2020-05-13 06:11:57+00:00,,1260452703924346880,0,Zambia shuts border with Tanzania to tame Covid-19 spread ,kazekenny
10,,0.0,Neutral,2020-05-13 06:11:20+00:00,,1260452547329953792,0,The Germany government is also finalising a Euro 18 million rapid response support for the COVID-19 to Zambia,SinkalaJames2
11,,0.0,Neutral,2020-05-13 05:45:31+00:00,,1260446052232069120,0,"Zambia shuts Tanzania border to fight COVID-19, delaying copper exports ",farhatahir
12,,0.0,Neutral,2020-05-13 05:34:06+00:00,,1260443181268832256,0,"COVID-19: Zambia, Tanzania in talks over border closure ",J_Nenez
13,,-0.4,Negative,2020-05-13 05:24:51+00:00,,1260440851160973324,2,"President Magufuli looks tired, he has run away from the State House to his village (Chato) to hide himself from COVID-19. Kenya should adopt the Zambia way and lock the borders. Tanzania is emerging to be an Epicentre for COVID19 in the region.",COVID19Kenya
14,#COVID19,0.0,Neutral,2020-05-13 05:19:28+00:00,,1260439497273233410,0,Days since last reported #COVID19 cases by country in Africa. Namibia - 36 Seychelles -35 Eritrea - 23 Mauritius -15 Mauritania -11 Burundi - 9 Equatorial Guinea - 6 Libya - 5 Tanzania - 4 Comoros - 2 Chad - 2 São Tomé and Príncipe - 2 Zimbabwe - 1 Cameroon - 1 Zambia - 1,Covid19Update24
15,#MedicalStars #CommunityHeroes,0.0,Neutral,2020-05-13 04:59:24+00:00,,1260434445464723461,0,"On the front line of fighting COVID-19: Meet Benjamin Chabala Nyemba, A Paramedic-Nurse at Levy Mwanawasa Hospital as he shares his story. Benjamin will be answering your questions as we celebrate his efforts in fighting life threatening COVID-19. #MedicalStars #CommunityHeroes",SanlamZambia
16,,0.0,Neutral,2020-05-13 04:09:14+00:00,,1260421823587647489,1,https://is.gd/pxLACq European Union extends K241.2 million support as its immediate-term contribution to the Covid-19 response in Zambia ,lusakatimes
17,,-0.1125,Negative,2020-05-13 02:50:47+00:00,,1260402081057452032,0,"If Zambia closed her Nakonde border on Monday due covid accept, coz by Saturday Zambia had 85 cases and 76 cases were from Nakonde, source Tz citizen news, facts remain facts",SsebuwufuWise
18,,0.0,Neutral,2020-05-13 02:48:26+00:00,,1260401488133853192,0,Zambia shuts border with Tanzania to curb COVID-19,trustdtravelr
19,,0.20833333333333334,Positive,2020-05-13 02:25:27+00:00,,1260395705010548737,0,A Thai medical expert and a mayor from Zambia have praised China's efforts in containing and sharing of its successful experience dealing with COVID-19 with other nations.,adamsidntsleep
20,,0.12121212121212122,Positive,2020-05-13 01:23:08+00:00,,1260380020498927624,0,"174 new COVID-19 Cases Recorded in Zambia, bringing the total to 441 https://www.lusakatimes.com/2020/05/12/282631/ via @LusakaTimes.com. Where are you going to treat the positive cases in Nakonde?",NkakaPuta
21,,-0.1,Negative,2020-05-12 23:23:24+00:00,,1260349888354713600,0,@CNN @cnni @MSNBC @SkyNews @ukembassyzambia @ZambiaUN @Zambia_Reports The negligence in Zambia is what is going to get people killed. The Ministry of Health's negligence is beyond me. Transporting covid-19 samples on public transport is incomprehensible. ,kakishwe
22,,0.3181818181818182,Positive,2020-05-12 23:19:39+00:00,,1260348944460189697,0,Zambia reports 174 new COVID-19 cases READ MORE ,newsheadlinesng
23,,0.0,Neutral,2020-05-12 23:06:30+00:00,,1260345637717057536,1,"Please register or update your profile here: https://vmam.unv.org/, writing 'COVID-19' as a keyword in your Motivation Statement. Then check for current assignments using the search key word COVID-19 here: ",UNVolunteers
24,,0.0,Neutral,2020-05-12 23:04:34+00:00,,1260345148145143809,0,"Zambia shuts Tanzania border to fight COVID-19, delaying copper exports https://af.reuters.com/article/topNews/idAFKBN22O1PZ-OZATP?utm_source=dlvr.it&amp;utm_medium=twitter",vagnerresearch
25,,0.0,Neutral,2020-05-12 22:10:38+00:00,,1260331575184670721,0,,Peter_S_Becks1
26,,0.0,Neutral,2020-05-12 22:06:00+00:00,,1260330413228253184,0,https://www.themastonline.com/2019/11/18/tribalism-is-unconstitutional-open-letter-to-president-lungu-kanganja-mwila/,Peter_S_Becks1
